,title,year,rated,released,runtime,genre,director,writer,actors,plot,language,country,awards,poster,ratings,metascore,imdbrating,imdbvotes,imdbid,type,dvd,boxoffice,production,website,response,error,totalseasons
486,The Gilded Dream,1920,N/A,01 Oct 1920,50 min,Drama,Rollin S. Sturgeon,"Katherine Leiser Robbins, Doris Schroeder","Carmel Myers, Tom Chatterton, Elsa Lorimer",N/A,"None, English",United States,N/A,https://m.media-amazon.com/images/M/MV5BODFlMzkxN2EtYWVkZC00NmIzLTkxZTMtZGIyYjdjN2I4MTQ2XkEyXkFqcGdeQXVyMjUxODE0MDY@._V1_SX300.jpg,[],N/A,N/A,N/A,tt0011225,movie,N/A,N/A,N/A,N/A,True,,
487,Sundown Slim,1920,N/A,01 Oct 1920,50 min,Western,Val Paul,Henry H. Knibbs,"Harry Carey, Otto Meyer, Ed Jones","Hobo poet Sundown Slim meets his old friend Billy Corliss in a Western saloon. Billy, in poor health as a result of injuries sustained in a train wreck, now owns the Concho cattle ranch with his brother Jack who runs the ranch. Su...",None,United States,N/A,https://m.media-amazon.com/images/M/MV5BOGRlZDk2Y2QtMWI5OC00MWVjLWE0YzItNzUxNDE1Yjc2NjcxXkEyXkFqcGdeQXVyNjA5MTAzODY@._V1_SX300.jpg,[],N/A,N/A,N/A,tt0011743,movie,N/A,N/A,N/A,N/A,True,,
488,Double Danger,1938,Passed,28 Jan 1938,62 min,"Comedy, Crime, Drama",Lew Landers,"Arthur T. Horman, J. Robert Bren","Preston Foster, Whitney Bourne, Donald Meek","Robert Crane is a slick jewel thief who also doubles as a novelist writing about a slick-jewel-thief known as 'The Gentleman,' who the police have never been able to catch. Although Police Inspector Davd Theron, a friend of the 'n...",English,United States,N/A,https://m.media-amazon.com/images/M/MV5BNWM0MGM0MTItZDQxZS00YmIzLTg5OTUtZTllYzI4NTNmZmFkXkEyXkFqcGdeQXVyMTk2MzI2Ng@@._V1_SX300.jpg,"[{'Source': 'Internet Movie Database', 'Value': '5.8/10'}]",N/A,5.8,164,tt0030074,movie,N/A,N/A,N/A,N/A,True,,
489,The Flaming Disc,1920,Passed,21 Nov 1920,N/A,Adventure,Robert F. Hill,Arthur Henry Goodson,"Elmo Lincoln, Louise Lorraine, Monte Montague",Criminals steal a death ray that concentrates the rays of the sun. The inventor's daughter and a government agent try to retrieve it.,"None, English",United States,N/A,https://m.media-amazon.com/images/M/MV5BZjMyZDcwYWQtZWRlNS00NWRjLTg2M2UtY2FlNmI4OGI4ODRmXkEyXkFqcGdeQXVyMjUxODE0MDY@._V1_SX300.jpg,"[{'Source': 'Internet Movie Database', 'Value': '6.4/10'}]",N/A,6.4,19,tt0011191,movie,N/A,N/A,N/A,N/A,True,,
490,West Is West,2010,N/A,25 Feb 2011,103 min,"Comedy, Drama",Andy De Emmony,Ayub Khan-Din,"Aqib Khan, Om Puri, Linda Bassett",An immigrant father decides to take his truant son back to the old country.,"English, Punjabi",United Kingdom,N/A,https://m.media-amazon.com/images/M/MV5BMTc1OTA3ODkxMV5BMl5BanBnXkFtZTcwNjMwMTA3NA@@._V1_SX300.jpg,"[{'Source': 'Internet Movie Database', 'Value': '6.4/10'}, {'Source': 'Rotten Tomatoes', 'Value': '65%'}]",N/A,6.4,"3,163",tt1441956,movie,N/A,N/A,N/A,N/A,True,,
491,King of the Circus,1924,N/A,09 Sep 1924,64 min,Comedy,Édouard-Émile Violet,Max Linder,"Max Linder, Eugen Burg, Vilma Bánky","Max suffers from drunkenness, but gets serious after he falls for the daughter of a circus director - who forbids her romance with an outsider.",None,"Austria, France",N/A,https://m.media-amazon.com/images/M/MV5BYWJhNmRjNWMtNDhjYy00YjA0LTk5ZGMtYTY0YzVmODViYmQzXkEyXkFqcGdeQXVyNjA5MTAzODY@._V1_SX300.jpg,"[{'Source': 'Internet Movie Database', 'Value': '7.1/10'}]",N/A,7.1,29,tt0015526,movie,N/A,N/A,N/A,N/A,True,,
492,Honor Bound,1988,TV-MA,05 Aug 1991,98 min,Thriller,Jeannot Szwarc,"Steven L. Thompson, Terrell Tannen","Eric Douglas, Edward Meeks, John Philbin","U.S. Army Sergeant Max Young is sent to East Berlin as a new addition to the Military Liaison Mission, MLM for short. Their job is to oversee the Soviet Unions dismantling of nuclear weapons in East Germany. Sergeant Young is assi...",English,"Yugoslavia, United States",N/A,https://m.media-amazon.com/images/M/MV5BOGMzZTdlODEtY2Q4Yi00MDhkLThhMDEtYWE2MDIyZTdhOThiXkEyXkFqcGdeQXVyNjkwNTg3NDY@._V1_SX300.jpg,"[{'Source': 'Internet Movie Database', 'Value': '6.6/10'}]",N/A,6.6,105,tt0095320,movie,N/A,N/A,N/A,N/A,True,,
493,Fixed by George,1920,N/A,08 Nov 1920,50 min,Comedy,"Eddie Lyons, Lee Moran","Edgar Franklin, C.B. Hoadley","Lee Moran, Hazel Howell, Eddie Lyons","Dr. Arthur Poole is paid $1,000 per week to treat the neurotic and spoiled Angelica Starr. Angelica is infatuated with her doctor, so Poole, afraid of losing his big fee, does not tell her that he is already married. Mrs. Poole, b...","None, English",United States,N/A,N/A,[],N/A,N/A,N/A,tt0011188,movie,N/A,N/A,N/A,N/A,True,,
494,Outside the Law,2010,R,22 Sep 2010,138 min,"Crime, Drama, War",Rachid Bouchareb,"Rachid Bouchareb, Olivier Lorelle","Jamel Debbouze, Roschdy Zem, Sami Bouajila",A drama about the Algerian struggle for independence from France after WWII.,"French, Arabic, English","France, Algeria, Belgium, Tunisia, Italy",Nominated for 1 Oscar. 2 wins & 4 nominations total,https://m.media-amazon.com/images/M/MV5BMTg5NzY0MTkwOV5BMl5BanBnXkFtZTcwNjU4NzcwNA@@._V1_SX300.jpg,"[{'Source': 'Internet Movie Database', 'Value': '6.6/10'}, {'Source': 'Rotten Tomatoes', 'Value': '76%'}, {'Source': 'Metacritic', 'Value': '59/100'}]",59,6.6,"3,945",tt1229381,movie,02 Aug 2011,"$96,933",N/A,N/A,True,,
495,White Youth,1920,N/A,01 Dec 1920,50 min,Drama,Norman Dawn,"Clara Beranger, Forrest Halsey, George C. Hull","Edith Roberts, Alfred Hollingsworth, Thomas Jefferson","Convent-reared Aline Ann Belame receives a letter from her grandfather General Belame, whom she had never previously met. The letter summons Aline to the old man's plantation to meet the husband he has chosen for her. Elated at th...","None, English",United States,N/A,https://m.media-amazon.com/images/M/MV5BNDU1ZWIyYzUtODZkNS00MWE2LWFiOGEtY2I3ZDcxYWFjMzkwXkEyXkFqcGdeQXVyNjA5MTAzODY@._V1_SX300.jpg,[],N/A,N/A,N/A,tt0011863,movie,N/A,N/A,N/A,N/A,True,,
496,Two Kinds of Love,1983,N/A,08 Nov 1983,94 min,Drama,Jack Bender,"Peggy Mann, Peter Nelson","Lindsay Wagner, Ricky Schroder, Peter Weller",Two kinds of love are experienced by young Ricky Schroder in this made-for-TV drama. One kind is the tenuous affection he extends to his estranged father when Schroder's mother unexpectedly dies. The other kind consists of the tea...,English,United States,N/A,https://m.media-amazon.com/images/M/MV5BMTczMzY0Mzc2M15BMl5BanBnXkFtZTcwMzY2NDIyMQ@@._V1_SX300.jpg,"[{'Source': 'Internet Movie Database', 'Value': '7.2/10'}]",N/A,7.2,85,tt0086493,movie,N/A,N/A,N/A,N/A,True,,
497,Risky Business,1983,R,05 Aug 1983,99 min,"Comedy, Crime, Drama",Paul Brickman,Paul Brickman,"Tom Cruise, Rebecca De Mornay, Joe Pantoliano","A Chicago teenager is looking for fun at home while his parents are away, but the situation quickly gets out of hand.","English, German",United States,3 nominations,https://m.media-amazon.com/images/M/MV5BMjVhNDE4YmQtNzBlMy00YTdkLTkwNTEtZGRmMDVkMmYwYjA5XkEyXkFqcGdeQXVyNDk3NzU2MTQ@._V1_SX300.jpg,"[{'Source': 'Internet Movie Database', 'Value': '6.8/10'}, {'Source': 'Rotten Tomatoes', 'Value': '92%'}, {'Source': 'Metacritic', 'Value': '75/100'}]",75,6.8,"91,681",tt0086200,movie,16 Sep 2008,"$63,541,777",N/A,N/A,True,,
498,Beautifully Trimmed,1920,N/A,01 Dec 1920,50 min,"Thriller, Drama",Marcel De Sano,"Marcel De Sano, Douglas Z. Doty, Marguerite C. Storrs","Carmel Myers, Pell Trenton, Irving Cummings","Pretty young Norine Lawton lives by herself in New York City. She becomes friendly with Count Bonzi, who--unbeknownst to her--is a swindler. He talks her into helping him sell worthless stock in the Mercer Oil Co. to Christopher Gibb","None, English",United States,N/A,https://m.media-amazon.com/images/M/MV5BMjA0Mzk3OTUxMV5BMl5BanBnXkFtZTYwMDA2MTc4._V1_SX300.jpg,"[{'Source': 'Internet Movie Database', 'Value': '5.4/10'}]",N/A,5.4,5,tt0010984,movie,N/A,N/A,N/A,N/A,True,,
499,A Shocking Night,1921,N/A,01 Jan 1921,50 min,Comedy,"Eddie Lyons, Lee Moran","Edgar Franklin, C.B. Hoadley","Eddie Lyons, Lee Moran, Alta Allen","William Harcourt loses all his money in a business transaction and is forced to dismiss his servants. Mr. and Mrs. Harcourt are about to entertain Richard Thayer and his fiancée, Bessie Lane, at dinner when there is received a mes...",None,United States,N/A,https://m.media-amazon.com/images/M/MV5BMDMyZTgyMjItODRiZi00ZDUyLWFjMzEtZDMwOGQzZDgxODgyXkEyXkFqcGdeQXVyNjA5MTAzODY@._V1_SX300.jpg,[],N/A,N/A,N/A,tt0012679,movie,N/A,N/A,N/A,N/A,True,,
500,Tiger True,1921,N/A,01 Jan 1921,50 min,Mystery,J.P. McGowan,"Max Brand, George C. Hull","Frank Mayo, Fritzi Brunette, Elinor Hancock","Tiring of hunting big game in the jungle, Jack Lodge, son of a wealthy man, seeks adventure in the underworld district of a big city. With his companion, Sanford, he visits a saloon, where Jack soundly beats the bouncer. As a rewa...",None,United States,N/A,https://m.media-amazon.com/images/M/MV5BZTU0ODc0MDQtYTQwYS00YTY4LWE5Y2YtNmVjZGUxY2MzOTQyXkEyXkFqcGdeQXVyNjA5MTAzODY@._V1_SX300.jpg,[],N/A,N/A,N/A,tt0012758,movie,N/A,N/A,N/A,N/A,True,,
501,Hearts Up,1921,N/A,02 Jan 1921,50 min,Western,Val Paul,"Harry Carey, Val Paul","Harry Carey, Arthur Millett, Charles Le Moyne","Coming upon a burning cabin, David Brent discovers the body of Jim Drew, who had been killed in a fight with a drunken Indian. Brent finds in Drew's pocket a letter announcing the impending arrival of Drew's daughter Lorelei. Feel...",None,United States,N/A,https://m.media-amazon.com/images/M/MV5BZWNiZDgxZmUtMDYyYy00MDc4LTg0MzQtZWFmNDMyNWI4ZjQ5XkEyXkFqcGdeQXVyNDY1NzU5NjY@._V1_SX300.jpg,[],N/A,N/A,N/A,tt0012261,movie,N/A,N/A,N/A,N/A,True,,
502,The Torrent,2012,N/A,09 Nov 2012,152 min,"Drama, Family, History",Simon Lavoie,"Anne Hébert, Simon Lavoie","Victor Andres Turgeon-Trelles, Laurence Leboeuf, Dominique Quesnel","A young man, born out of wedlock to his abusive mother Claudine, whose hopes he will become a priest are dashed when he refuses to enter the seminary.",French,Canada,6 nominations,https://m.media-amazon.com/images/M/MV5BZTIyMjhkNzYtNGJjYy00ZjdlLWI3ZDAtODUzY2VmYjk2YTRhXkEyXkFqcGdeQXVyNTA1NDY3NzY@._V1_SX300.jpg,"[{'Source': 'Internet Movie Database', 'Value': '6.0/10'}]",N/A,6.0,121,tt2458606,movie,N/A,N/A,N/A,N/A,True,,
503,"Rich Girl, Poor Girl",1921,Passed,24 Jan 1921,50 min,"Drama, Romance",Harry B. Harris,"J.G. Hawks, Andrew Percival Younger","Gladys Walton, Gordon McGregor, Harold Austin","Poor abused Nora runs into privileged bored Beatrice, while wandering onto the rich girl's family estate. Both girls notice the uncanny resemblance between each other, so they decide to switch places. However, trouble soon arises ...",None,United States,N/A,https://m.media-amazon.com/images/M/MV5BZGM2NjFlNGMtN2NiOC00YzNhLTk3ODktNmNhNmZiZjczOWRhXkEyXkFqcGdeQXVyNDY1NzU5NjY@._V1_SX300.jpg,[],N/A,N/A,N/A,tt0012621,movie,N/A,N/A,N/A,N/A,True,,
504,The Mad Marriage,1921,N/A,31 Jan 1921,50 min,Drama,Rollin S. Sturgeon,"Marjorie Benton Cooke, Marion Fairfax","Carmel Myers, Truman Van Dyke, William Brunton","Struggling Greenwich Village artist Jerry marries studio helper and aspiring playwright Jane Judd, knowing that she will not interfere with his work. She takes part in a pageant for which Jerry designs the costumes and attracts th...",None,United States,N/A,https://m.media-amazon.com/images/M/MV5BZDI1MWJmYmMtMTQ4NS00NTZiLTgwYWUtMmVkN2MxZmQ1Mzg2XkEyXkFqcGdeQXVyNjA5MTAzODY@._V1_SX300.jpg,[],N/A,N/A,N/A,tt0012425,movie,N/A,N/A,N/A,N/A,True,,
505,The Fire Cat,1921,N/A,01 Feb 1921,50 min,Drama,Norman Dawn,"Norman Dawn, Philip D. Hurn","Edith Roberts, Walter Long, Eagle Eye","Dulce, last of the Alvarez family, lives with her mother in the Andes and is worshiped by Pancho, a half-caste. Gringo Burke, an American renegade, robs and kills her mother. Accusing Pancho of cowardice, Dulce vows to seek reveng...","None, English",United States,N/A,https://m.media-amazon.com/images/M/MV5BZGVhMjNhMTktNTU1ZS00NWNiLTgyNjctNjI2NWE1MjZhYjM1XkEyXkFqcGdeQXVyNjA5MTAzODY@._V1_SX300.jpg,[],N/A,N/A,N/A,tt0012170,movie,N/A,N/A,N/A,N/A,True,,
506,Society Secrets,1921,N/A,01 Feb 1921,50 min,Comedy,Leo McCarey,"Helen Christine Bennett, Douglas Z. Doty, Leo McCarey","Eva Novak, Gertrude Claire, George Berrell","Amos Kerran and his wife live a traditional, old-fashioned life on a Connecticut farm, while their son and daughter, Arthur and Maybelle, are successes in New York society. The children want to invite their parents to the city at Chr",None,United States,N/A,https://m.media-amazon.com/images/M/MV5BYTg1OTQyNmMtZGYzZi00MDRjLTg1NDgtYzczMDhlYmU2ZTEyXkEyXkFqcGdeQXVyNjA5MTAzODY@._V1_SX300.jpg,[],N/A,N/A,N/A,tt0012708,movie,N/A,N/A,N/A,N/A,True,,
507,Colorado,1940,Passed,15 Sep 1940,57 min,"Drama, Music, Western",Joseph Kane,"Louis Stevens, Harrison Jacobs","Roy Rogers, George 'Gabby' Hayes, Pauline Moore",Trouble in Colorado is tying up Union troops needed back east during the Civil War and Lieut. Burke is sent to investigate. Macklin and his gang are causing the problems and Capt. Mason joins them. When Burke catches up with them ...,English,United States,N/A,https://m.media-amazon.com/images/M/MV5BZDFkYjFmOGMtMTc1Ni00NTA4LWExMDItNzNkMDVmMjQ2NjQ2XkEyXkFqcGdeQXVyNjgzNDU2ODI@._V1_SX300.jpg,"[{'Source': 'Internet Movie Database', 'Value': '5.9/10'}]",N/A,5.9,282,tt0032346,movie,24 Apr 2007,N/A,N/A,N/A,True,,
508,The Unknown Wife,1921,N/A,14 Mar 1921,50 min,Drama,William Worthington,"Bennett Cohen, Wallace Clifton","Edith Roberts, Spottiswoode Aitken, Casson Ferguson",N/A,None,United States,N/A,N/A,[],N/A,N/A,N/A,tt0012791,movie,N/A,N/A,N/A,N/A,True,,
509,The Diamond Queen,1953,Approved,28 Nov 1953,80 min,"Adventure, Romance",John Brahm,Otto Englander,"Fernando Lamas, Arlene Dahl, Gilbert Roland","In 1659, jeweler Gabriel Tavernier miscuts a diamond meant to surmount the coronation crown of Louis XIV. He's thrown into prison and his son, Jean, is sent to India, along with the Baron Paul de Cabannes, to procure a replacement...",English,United States,N/A,https://m.media-amazon.com/images/M/MV5BYzYzMWFkNDYtMmRlMS00ZGEwLTg2M2YtNzJhYjk4ZGQxMjUwXkEyXkFqcGdeQXVyMTQ3Njg3MQ@@._V1_SX300.jpg,"[{'Source': 'Internet Movie Database', 'Value': '4.7/10'}]",N/A,4.7,107,tt0045687,movie,N/A,N/A,N/A,N/A,True,,
510,The Smart Sex,1921,N/A,01 Mar 1921,50 min,Comedy,Fred LeRoy Granville,"Emma Bell Clifton, Doris Schroeder","Eva Novak, Frank Braidwood, Geoffrey Webb","Stranded showgirl Rose rescues a goose from her fellow cast members and employs it as her partner in a local amateur show. After winning first prize, Rose meets a wealthy young man who buys her a late supper, finds her accommodati...","None, English",United States,N/A,https://m.media-amazon.com/images/M/MV5BNDk2ZmQzMjMtYTVmYy00MTU3LTlkYzYtMzE4ZjNjZTEzYjM1XkEyXkFqcGdeQXVyNjA5MTAzODY@._V1_SX300.jpg,[],N/A,N/A,N/A,tt0012703,movie,N/A,N/A,N/A,N/A,True,,
511,The Magnificent Brute,1936,Approved,11 Oct 1936,77 min,"Drama, Romance",John G. Blystone,"Lewis R. Foster, Owen Francis, Bertram Millhauser","Victor McLaglen, Binnie Barnes, Jean Dixon",The foreman of a blast furnace gets involved in a romantic triangle and stolen money.,English,United States,Nominated for 1 Oscar. 1 nomination total,https://m.media-amazon.com/images/M/MV5BMGRlNWEwMDctZTk3My00M2U5LTgyMWItZTIzMWY2OWMxNTZmXkEyXkFqcGdeQXVyMTY5Nzc4MDY@._V1_SX300.jpg,"[{'Source': 'Internet Movie Database', 'Value': '5.7/10'}]",N/A,5.7,58,tt0027930,movie,N/A,N/A,N/A,N/A,True,,
512,All Dolled Up,1921,Passed,01 Mar 1921,50 min,Comedy,Rollin S. Sturgeon,"John Colton, Andrew Percival Younger","Gladys Walton, Edward Hearn, Richard Norton","Spinster heiress Eva Bundy, who is in love with Rodolpho, a swindler after her money, is saved by cashier Maggie Quick from being robbed in a department store. When a jealous rival presents evidence of Rodolpho's previous marriage...",English,United States,N/A,https://m.media-amazon.com/images/M/MV5BMzgzMzJjZWUtYWY2MS00N2RlLWI5N2MtYTAxYWQxNTk4NTNmXkEyXkFqcGdeQXVyNjA5MTAzODY@._V1_SX300.jpg,"[{'Source': 'Internet Movie Database', 'Value': '6.0/10'}]",N/A,6.0,100,tt0011916,movie,N/A,N/A,N/A,N/A,True,,
513,The Freeze-Out,1921,N/A,09 Apr 1921,50 min,Western,John Ford,George C. Hull,"Harry Carey, Helen Ferguson, Joe Harris",A cowpoke helps a pretty schoolteacher clean up a lawless town.,"None, English",United States,N/A,https://m.media-amazon.com/images/M/MV5BZGUxM2I4ZjQtMDk4Zi00YWJmLTk5NTYtYzU5NGY0MDEwNGI1XkEyXkFqcGdeQXVyMTAzNTE4MDcy._V1_SX300.jpg,"[{'Source': 'Internet Movie Database', 'Value': '4.2/10'}]",N/A,4.2,51,tt0012194,movie,N/A,N/A,N/A,N/A,True,,
514,Wolves of the North,1924,N/A,21 Sep 1924,N/A,"Action, Adventure, Drama",William Duncan,"Frank Howard Clark, Kathrene Pinkerton, Robert Pinkerton","William Duncan, Edith Johnson, Joseph W. Girard","The adventures of fur trappers in the Pacific Northwest, as they fight Indians, the elements and each other.","None, English",United States,N/A,N/A,"[{'Source': 'Internet Movie Database', 'Value': '2.3/10'}]",N/A,2.3,23,tt0015505,movie,N/A,N/A,N/A,N/A,True,,
515,Desperate Youth,2006,N/A,N/A,6 min,Horror,Jörg Kundiger,N/A,N/A,N/A,English,Germany,N/A,N/A,[],N/A,N/A,N/A,tt3579802,movie,N/A,N/A,N/A,N/A,True,,
516,The Dangerous Moment,1921,Passed,01 Apr 1921,50 min,Drama,Marcel De Sano,"Douglas Z. Doty, William Clifton, John Colton","Carmel Myers, Lule Warrenton, George Regas","Sylvia Palprini is a waitress at The Black Beetle, the leading bohemian café in New York City's Greenwich Village. Among the eclectic customers is artist George Duray, whom she admires from a distance. A jealous suitor, Movros Tar...",None,USA,N/A,https://m.media-amazon.com/images/M/MV5BMTNkY2JhYzktODlmMi00YjhjLTgxMWYtMjk4NzA2YmRjYjY4XkEyXkFqcGdeQXVyNjA5MTAzODY@._V1_SX300.jpg,[],N/A,N/A,N/A,tt0012088,movie,N/A,N/A,N/A,N/A,True,,
517,The Big Adventure,1921,Passed,01 Apr 1921,50 min,Adventure,B. Reeves Eason,"J. Edward Hungerford, George W. Pyper","B. Reeves Eason Jr., Fred Herzog, Lee Shumway","Patches, a kindhearted orphan of the slums, finds life unbearable under the cruel abuse of his stepfather, Old Whiskers, for whose support he is forced to steal. Stowing away in a freight car with his dog, he escapes to a neighbor...","None, English",United States,N/A,https://m.media-amazon.com/images/M/MV5BN2RmMTliMjgtYWQzMC00YWQ4LThjMjktMzEzMzVmNzA5MWYxXkEyXkFqcGdeQXVyMTcyODY2NDQ@._V1_SX300.jpg,[],N/A,N/A,14,tt0011966,movie,N/A,N/A,N/A,N/A,True,,
518,The Blazing Trail,1949,Approved,05 Jun 1949,59 min,"Drama, Music, Western",Ray Nazarro,Barry Shipman,"Charles Starrett, Marjorie Stapp, Fred F. Sears","Old Mike Brady built Brady Town and was a leader, but a bullet from an unknown assailant has ended his life. When the will is read, it leaves the bulk of the property to Kirk, the gambling son of Mike. This upsets Sam, the hard wo...",English,United States,N/A,https://m.media-amazon.com/images/M/MV5BZjhjYTFkMTktYTdmMi00ODAwLWExOTUtOTFhOWE0MmUyZDBmXkEyXkFqcGdeQXVyMzg1ODEwNQ@@._V1_SX300.jpg,"[{'Source': 'Internet Movie Database', 'Value': '6.7/10'}]",N/A,6.7,58,tt0041186,movie,N/A,N/A,N/A,N/A,True,,
519,Reputation,1921,N/A,01 May 1921,70 min,Drama,Stuart Paton,"Lucien Hubbard, Edwina LeVin, Doris Schroeder","Priscilla Dean, Mae Giraci, Harry von Meter","Actress Fay McMillan finds her child, Pauline, whom she deserted years ago, in an orphanage, but Monty, her financer, objects to her taking the girl back. In Paris, France, she becomes a sensation as ""Laura Figlan."" While intoxica...",None,United States,N/A,https://m.media-amazon.com/images/M/MV5BZDIwY2Y4MjUtMjkyMy00Yjk4LTkyOWUtY2JjMzI1M2E2ZDExXkEyXkFqcGdeQXVyMjUxODE0MDY@._V1_SX300.jpg,"[{'Source': 'Internet Movie Database', 'Value': '5.6/10'}]",N/A,5.6,20,tt0012619,movie,N/A,N/A,N/A,N/A,True,,
520,The Wallop,1921,N/A,09 May 1921,50 min,Western,John Ford,"George C. Hull, Eugene Manlove Rhodes","Harry Carey, Mignonne Golden, William Steele","John Wesley Pringle, adventurer at large, returns home after making his strike and finds his old girl friend, Stella, engaged to Christopher Foy, who is running for sheriff. Pringle foils an attempt by incumbent sheriff Matt Lisne...",None,United States,N/A,https://m.media-amazon.com/images/M/MV5BMTY2NTY5NWYtMmQ2YS00ZWNiLThlYjEtYzBhNjc2MjEyZDM5XkEyXkFqcGdeQXVyNjA5MTAzODY@._V1_SX300.jpg,"[{'Source': 'Internet Movie Database', 'Value': '4.4/10'}]",N/A,4.4,42,tt0012818,movie,N/A,N/A,N/A,N/A,True,,
521,Cheated Love,1921,N/A,16 May 1921,50 min,Drama,King Baggot,"Lucien Hubbard, Sonya Levien, Doris Schroeder","Carmel Myers, George B. Williams, Allan Forrest","Sonya (Carmel Myers) arrives as immigrant to the United States and works in her father's ghetto grocery store, where she gains the affections of a young settlement worker, David Dahlman (Allan Forrest). But she loves Mischa, a you...","None, English",United States,N/A,https://m.media-amazon.com/images/M/MV5BM2ZiY2U3MTYtYzA5MS00OTI4LWIzY2MtOGIwYTJlZWMyMmJjXkEyXkFqcGdeQXVyMjUxODE0MDY@._V1_SX300.jpg,[],N/A,N/A,N/A,tt0012040,movie,N/A,N/A,N/A,N/A,True,,
522,The Man Tamer,1921,Passed,30 May 1921,50 min,Drama,Harry B. Harris,"John Barton Oxford, Andrew Percival Younger","Gladys Walton, Rex De Rosselli, William Welsh","A young woman becomes a lion tamer in a circus. The circus manager is in love with her, but she only has eyes for a millionaire's playboy son.","None, English",United States,N/A,https://m.media-amazon.com/images/M/MV5BN2YwYzMyY2ItYTA3My00M2QwLWJmOTMtNjhlMzI2OWZlMDU5XkEyXkFqcGdeQXVyMTcyODY2NDQ@._V1_SX300.jpg,"[{'Source': 'Internet Movie Database', 'Value': '6.8/10'}]",N/A,6.8,67,tt0012436,movie,N/A,N/A,N/A,N/A,True,,
523,Do or Die,1991,R,28 Jun 1991,97 min,"Action, Adventure, Crime",Andy Sidaris,Andy Sidaris,"Pat Morita, Erik Estrada, Dona Speir","Hunted down by six teams of assassins hired by a Japanese crime lord, Federal agents Donna and Nicole struggle to survive, with help from their agency friends.",English,United States,N/A,https://m.media-amazon.com/images/M/MV5BNDczODhhZmYtNWE2OS00ZTk5LTg2MTgtNTMyM2Y0Mjc2OTE0XkEyXkFqcGdeQXVyNjQ2MjQ5NzM@._V1_SX300.jpg,"[{'Source': 'Internet Movie Database', 'Value': '4.3/10'}]",N/A,4.3,"1,301",tt0101744,movie,29 Mar 2011,N/A,N/A,N/A,True,,
524,The White Horseman,1921,N/A,30 May 1921,N/A,Western,"Ford Beebe, J.P. McGowan, Albert Russell","Ford Beebe, Albert Russell","Art Acord, Eva Forrestor, Duke R. Lee","Wayne Allen, a young westerner, inherits some apparently worthless land. A complicated system of mines is discovered on the land, which shelters a treasure hidden by an extinct band of Indians. The story then develops into a strug...","None, English",United States,N/A,https://m.media-amazon.com/images/M/MV5BNmFmNGIyMjctZjYzZC00NjI1LWE4YTYtNzM4NGQ3YzNjNThlXkEyXkFqcGdeQXVyMDgyNjA5MA@@._V1_SX300.jpg,[],N/A,N/A,N/A,tt0012840,movie,N/A,N/A,N/A,N/A,True,,
525,The Beautiful Gambler,1921,N/A,01 Jun 1921,50 min,Western,William Worthington,"Peter B. Kyne, Hope Loring","Grace Darmond, Jack Mower, Harry von Meter","Mark Hanlon gambles away his fortune and the equity in his house, forcing his daughter, Molly, to marry casino owner Lee Kirk. As mistress of the gaming tables, Molly meets young Miles Rand, who falls in love with her and protects...","None, English",United States,N/A,https://m.media-amazon.com/images/M/MV5BZTA2NjJkOTMtYWNlOS00YWEwLWFlYWEtMGFlNzNlMTNkYjY0XkEyXkFqcGdeQXVyNDY1NzU5NjY@._V1_SX300.jpg,[],N/A,N/A,N/A,tt0011954,movie,N/A,N/A,N/A,N/A,True,,
526,Desperate Trails,1939,Approved,01 Oct 1939,60 min,Western,Albert Ray,"Andrew Bennison, Courtney Ryley Cooper","Johnny Mack Brown, Bob Baker, Fuzzy Knight",A young boy helps a marshal in his battle against outlaws.,English,United States,N/A,https://m.media-amazon.com/images/M/MV5BNTRjMWYxNzgtZjU1Mi00ZDk2LTlkYTUtNDRkM2M5MTViM2EyXkEyXkFqcGdeQXVyMTY5Nzc4MDY@._V1_SX300.jpg,"[{'Source': 'Internet Movie Database', 'Value': '5.9/10'}]",N/A,5.9,66,tt0031224,movie,27 Feb 2020,N/A,N/A,N/A,True,,
527,Thunder Island,1963,Approved,01 Oct 1963,65 min,"Action, Drama, Thriller",Jack Leewood,"Don Devlin, Jack Nicholson","Gene Nelson, Fay Spain, Brian Kelly",A Central American woman hires an American hit man to assassinate the former dictator of her island country. The plan is foiled by another American while attempting to save the lives of his wife and child.,English,"Puerto Rico, United States",N/A,https://m.media-amazon.com/images/M/MV5BOTExYzU2N2YtZDUxZC00ZTY4LTliNjktZTU4MTc1ZDE5MzU1XkEyXkFqcGdeQXVyNjU2MTA3OTY@._V1_SX300.jpg,"[{'Source': 'Internet Movie Database', 'Value': '5.2/10'}]",N/A,5.2,200,tt0057582,movie,17 Oct 2012,N/A,N/A,N/A,True,,
528,The Fighting Lover,1921,N/A,13 Jun 1921,50 min,"Comedy, Mystery",Fred LeRoy Granville,"Harvey Gates, Ben Ames Williams","Frank Mayo, Elinor Hancock, Gertrude Olmstead","Andrew Forsdale bets $10,000 that his friend, Ned Randolph, will fall in love with one of three young women within 30 days. Vic Ragner, a mutual friend, is to be stakeholder and judge. The candidates, Helen Leigh, Anna Hughes, and...",None,United States,N/A,https://m.media-amazon.com/images/M/MV5BMjE2MDIyMTI2N15BMl5BanBnXkFtZTYwOTA0Mjc4._V1_SX300.jpg,[],N/A,N/A,N/A,tt0012165,movie,N/A,N/A,N/A,N/A,True,,
